V1,time_stamp,validity_1,validity_2,validity_3,validity_4,validity_5,validity_r_1,validity_r_2,validity_r_3,validity_r_4,validity_r_5,gaze_left_1,gaze_left_2,gaze_left_3,gaze_right_1,gaze_right_2,gaze_right_3, gaze_origin_left_1, gaze_origin_left_2, gaze_origin_left_3,gaze_origin_right_1, gaze_origin_right_2, gaze_origin_right_3,convergence_validity,convergence_distance,pupil_diameter,pupil_diameter_r,eye_open,eye_open_r,time,v1_head,v2,x,y,z,qw,qx,qy,qz
3768556,1578642404260183,1,1,1,1,0,1,1,1,1,0,0.0304718,-0.17108154,0.98477173,0.04460144,-0.16845703,0.98469543,32.82743835,-0.40718079,-30.03973389,-25.75846863,0.10829163,-23.26118469,0,0.0,4.56758118,4.56758118,0.93937278,0.90920871,1578642404260253,252434025402, HMD, -0.07493, 1.18256, 0.39103, 0.00636, -0.01750, 0.99831, -0.05509
3768556,1578642404264178,1,1,1,1,0,1,1,1,1,0,0.0304718,-0.17108154,0.98477173,0.04460144,-0.16845703,0.98469543,32.82743835,-0.40718079,-30.03973389,-25.75846863,0.10829163,-23.26118469,0,0.0,4.56758118,4.56758118,0.93937278,0.90920871,1578642404263692,252434059762, HMD, -0.07493, 1.18255, 0.39103, 0.00635, -0.01752, 0.99831, -0.05509
3768565,1578642404268186,1,1,1,1,0,1,1,1,1,0,0.03352356,-0.17295837,0.98434448,0.04432678,-0.16851807,0.98469543,32.84324646,-0.45143127,-29.92367554,-25.76486206,0.10324097,-23.26316833,0,0.0,4.52259827,4.52259827,0.93937278,0.90920871,1578642404263692,252434059762, HMD, -0.07493, 1.18255, 0.39103, 0.00635, -0.01752, 0.99831, -0.05509
3768565,1578642404272199,1,1,1,1,0,1,1,1,1,0,0.03352356,-0.17295837,0.98434448,0.04432678,-0.16851807,0.98469543,32.84324646,-0.45143127,-29.92367554,-25.76486206,0.10324097,-23.26316833,0,0.0,4.52259827,4.52259827,0.93937278,0.90920871,1578642404277493,252434197790, HMD, -0.07492, 1.18257, 0.39103, 0.00636, -0.01760, 0.99831, -0.05500
3768565,1578642404276165,1,1,1,1,0,1,1,1,1,0,0.03874207,-0.16371155,0.98573303,0.04408264,-0.1686554,0.98468018,32.85641479,-0.45585632,-29.91947937,-25.77125549,0.09819031,-23.26515198,0,0.0,4.48420715,4.48420715,0.93937278,0.90920871,1578642404277493,252434197790, HMD, -0.07492, 1.18257, 0.39103, 0.00636, -0.01760, 0.99831, -0.05500
3768573,1578642404280165,1,1,1,1,0,1,1,1,1,0,0.03874207,-0.16371155,0.98573303,0.04408264,-0.1686554,0.98468018,32.85641479,-0.45585632,-29.91947937,-25.77125549,0.09819031,-23.26515198,0,0.0,4.48420715,4.48420715,0.95715523,0.92397529,1578642404280158,252434224426, HMD, -0.07492, 1.18257, 0.39103, 0.00637, -0.01762, 0.99831, -0.05498
3768581,1578642404284072,1,1,1,1,0,1,1,1,1,0,0.03817749,-0.16699219,0.98521423,0.04307556,-0.1697998,0.98452759,32.86958313,-0.4370575,-29.98724365,-25.7794342,0.09765625,-23.26316833,0,0.0,4.5398407,4.5398407,0.95715523,0.92397529,1578642404280721,252434230051, HMD, -0.07492, 1.18257, 0.39103, 0.00637, -0.01763, 0.99831, -0.05497
3768581,1578642404288084,1,1,1,1,0,1,1,1,1,0,0.03817749,-0.16699219,0.98521423,0.04307556,-0.1697998,0.98452759,32.86958313,-0.4370575,-29.98724365,-25.7794342,0.09765625,-23.26316833,0,0.0,4.5398407,4.5398407,0.95715523,0.92397529,1578642404290626,252434329116, HMD, -0.07494, 1.18256, 0.39106, 0.00637, -0.01770, 0.99832, -0.05486
3768590,1578642404292077,1,1,1,1,0,1,1,1,1,0,0.03605652,-0.17494202,0.98390198,0.04211426,-0.17100525,0.98435974,32.88449097,-0.42108154,-30.04814148,-25.78759766,0.09712219,-23.26118469,0,0.0,4.46734619,4.46734619,0.95144522,0.93007565,1578642404292107,252434343916, HMD, -0.07494, 1.18256, 0.39106, 0.00639, -0.01771, 0.99832, -0.05486
3768590,1578642404296086,1,1,1,1,0,1,1,1,1,0,0.03605652,-0.17494202,0.98390198,0.04211426,-0.17100525,0.98435974,32.88449097,-0.42108154,-30.04814148,-25.78759766,0.09712219,-23.26118469,0,0.0,4.46734619,4.46734619,0.95144522,0.93007565,1578642404293700,252434359846, HMD, -0.07494, 1.18256, 0.39106, 0.00640, -0.01773, 0.99832, -0.05485
